Epochs: 2000
Generation size: 100
Crossover probability: 0.9
Crossover type: 2
Mutation probability: 0.05

Data format:
++++ before last solution
Epoch,curr_avg_fitness,curr_best_fitness

0,-6.4380066722267175,-6.426544712057865
10,-6.43759232946388,-6.417273851515681
20,-6.43233631439853,-6.402412049205593
30,-6.435447575088635,-6.377601426257682
40,-6.432264639246154,-6.360916616038153
50,-6.428509158157425,-6.3594321498212425
60,-6.420765346931097,-6.353190457187634
70,-6.426975064330573,-6.327948301290864
80,-6.43078832446648,-6.318528656030772
90,-6.409774211436358,-6.302884395943269
100,-6.398049128588035,-6.291463092087718
110,-6.376539666875134,-6.269942974115249
120,-6.349165255752667,-6.242860966837957
130,-6.324470419979167,-6.222341415678585
140,-6.318354042208931,-6.2108766436557845
150,-6.30432491326626,-6.190001202700115
160,-6.304736086509929,-6.189860330609099
170,-6.295784758786648,-6.177929868489048
180,-6.259375276122631,-6.159335295945454
190,-6.247955694901439,-6.134639175504823
200,-6.2543877613964405,-6.1271146926785915
210,-6.257857054335375,-6.125171885542755
220,-6.2205220458345245,-6.119833732001025
230,-6.183062027811384,-6.088169823719667
240,-6.174586439899464,-6.076897197259425
250,-6.153151904228765,-6.065318074591553
260,-6.156346269190669,-6.057031979635217
270,-6.13081243335187,-6.045165647195666
280,-6.119656954188189,-6.039397258279044
290,-6.109986333983745,-6.033070983314595
300,-6.107048942556723,-6.023102551332382
310,-6.089665646715722,-6.015344574103691
320,-6.084273182506483,-6.013025591194653
330,-6.0582600146961045,-6.01285034990109
340,-6.066212549365335,-6.009028558355697
350,-6.068859057306875,-6.005214995958613
360,-6.070348381742729,-6.003798167127167
370,-6.063957769243127,-6.002053035585961
380,-6.07224673768517,-6.0014120934544115
390,-6.053764125745351,-5.999004926686593
400,-6.063539484925423,-5.9947164884802975
410,-6.079615891405582,-5.986500008077827
420,-6.058622506807392,-5.9850048870053465
430,-6.063630841329435,-5.9850048870053465
440,-6.0612077868577225,-5.9779206117029045
450,-6.047956738612103,-5.972180410684744
460,-6.0418734951569,-5.971523170815161
470,-6.05668249848516,-5.969160644490369
480,-6.0417112995257956,-5.9686327745144725
490,-6.047294487300278,-5.966034028300927
500,-6.0324482289559045,-5.965193067790091
510,-6.038976298021634,-5.962326585899442
520,-6.04900828071318,-5.960792166600606
530,-6.031369997988617,-5.9560402452383565
540,-6.043174842896506,-5.9560402452383565
550,-6.047080920510625,-5.954836050708599
560,-6.035935118160619,-5.951470410729382
570,-6.033204337794935,-5.951165362484355
580,-6.016447996687773,-5.950878892830678
590,-6.000741573535144,-5.949692444052351
600,-6.000565837642072,-5.948680154363765
610,-6.002827317328596,-5.947093395575252
620,-6.008633330224521,-5.942576236615318
630,-6.008983673783115,-5.940302091413237
640,-6.00194924086011,-5.940302091413237
650,-5.995101991860623,-5.935821475702819
660,-5.992389377794679,-5.934720220478385
670,-5.993759374480935,-5.932571045570046
680,-5.986812676027015,-5.92918734343952
690,-5.978293969387275,-5.92840436109669
700,-5.989691349234822,-5.92840436109669
710,-5.986259455913269,-5.9257425743616645
720,-5.980287574890075,-5.921599286150002
730,-5.996801812838214,-5.92079428030542
740,-6.001596740450205,-5.920597004794076
750,-5.998357090753252,-5.9203538970851275
760,-6.001583729050385,-5.919410782401252
770,-5.977788574205001,-5.919410782401252
780,-5.962622978803475,-5.916468986131683
790,-5.958538243822591,-5.915029930665718
800,-5.965392753107583,-5.913177518481342
810,-5.963566574999416,-5.9121107378606155
820,-5.96963278502472,-5.9104585342690905
830,-5.950273789650951,-5.907007366285789
840,-5.953288401542952,-5.9062976646314524
850,-5.960606763834673,-5.905941602583712
860,-5.95374666688688,-5.902069973602895
870,-5.96404026181273,-5.901763225257128
880,-5.981619454692706,-5.900748328150593
890,-5.975976252491847,-5.8986279366476335
900,-5.956475201439937,-5.8967383178557204
910,-5.938385682416254,-5.89601455438176
920,-5.931913084888213,-5.8931830987860225
930,-5.940930044020461,-5.891577495000421
940,-5.937563145832869,-5.891021219366271
950,-5.930855850676884,-5.890671642692593
960,-5.947729084987514,-5.889809802561735
970,-5.94769412349027,-5.889263842425892
980,-5.950397847291968,-5.8866180157658015
990,-5.939781705821371,-5.886156254351116
1000,-5.929536577778048,-5.884012016041503
1010,-5.922196781189455,-5.883363284301448
1020,-5.931853391089086,-5.87963364770587
1030,-5.927710801568968,-5.878595579430249
1040,-5.9141488407097595,-5.877263187843115
